filename,brightness,contrast_std,michelson_contrast,rms_contrast,sharpness_laplacian,sharpness_tenengrad,noise_estimate
IS20250115_171841_9465_61003253.dcm,174.6803116438356,49.15984805943851,0.9999999607843153,49.15984805943851,82.741920481094,17.859887772192153,0.2506662075194083
IS20250115_190348_9148_86297118.dcm,130.8419680365297,76.7325392412498,0.9999999607843153,76.7325392412498,116.69788312345442,29.18777521571466,0.0
IS20250115_191316_7227_10120577.dcm,127.77649086757991,72.30086550835173,0.9999999607843153,72.30086550835173,101.51437962794768,26.014967824943692,0.0
IS20250116_180218_7445_56958340.dcm,116.35366552511415,83.57152331144795,0.9999999607843153,83.57152331144795,89.4367351560174,26.594470439891232,0.0
IS20250218_193552_3393_78829426.dcm,175.43420433789953,50.17365742340646,0.9999999607843153,50.17365742340646,175.69812036146033,30.250546516374058,0.0
IS20250218_193621_8940_10081171.dcm,166.89680251141553,34.428060059440355,0.9999999607843153,34.428060059440355,236.9231397100756,40.48600312436586,0.0
IS20250221_192657_5718_56712676.dcm,142.19973515981735,43.95241686564785,0.9999999607843153,43.95241686564785,373.5171666776705,55.10942426132468,0.0
R10.rvg,179.28083726518514,37.45741495025801,0.9999999607843153,37.45741495025801,215.13968031677203,16.305539776822,0.0
R4.rvg,166.7670794380229,31.083403841687655,0.9999999606299228,31.083403841687655,115.86605628248218,12.190465236306453,0.0
R5.rvg,139.64080944258328,42.47953585100026,0.9999999606299228,42.47953585100026,192.15070998216416,16.482098169934062,0.0
R6.rvg,151.98927985722554,35.312069081136976,0.9999999606299228,35.312069081136976,182.8482947168709,16.03562626740204,0.0
R7.rvg,150.9198165330714,29.82933653056146,0.9999999606299228,29.82933653056146,337.33904481227063,20.697460025826377,0.0
R9.rvg,190.01518677757704,45.282217647986236,0.9999999606299228,45.282217647986236,157.4105054009461,13.74514213983528,0.0
